id,speed,ball,grouped,SysBias,Amplitude,Theta
04,320,1,2,-4.010147031,5.827779619,2.095627409
05,320,1,2,-2.976801601,13.2662545,2.835312547
07,320,1,2,-19.31807319,10.70965474,1.451259273
08,320,1,2,-37.43915296,23.25786184,0.359814877
11,320,1,2,-13.1119716,26.10010203,1.520625459
12,320,1,2,-11.05635725,17.33821466,-2.497101085
13,320,1,2,1.888102327,18.83210776,2.243060781
14,320,1,2,29.39390082,37.69581545,2.283092361
15,320,1,2,-3.786293826,1.593980507,1.086556009
16,320,1,2,-8.928462843,33.76728031,1.294173393
17,320,1,2,-7.954707301,1.826954649,2.529711295
18,320,1,2,-22.71607475,15.99227838,-2.49325784
19,320,1,2,-17.08495411,20.14785663,1.996472372
01,20,2,1,-4.865319992,10.05542629,1.076061951
02,20,2,1,-11.17205608,18.12757609,1.733580477
03,20,2,1,-17.81252672,22.54490175,1.201317784
04,20,2,1,-11.7355139,3.292217577,1.689470773
05,20,2,1,-9.198346766,15.70112051,2.682365015
07,20,2,1,-13.18386005,7.169514951,-0.040908567
08,20,2,1,-38.05160771,25.30525875,0.31143957
11,20,2,1,-24.35980602,5.836810856,0.029245314
12,20,2,1,-25.09033494,23.22859755,-2.723647666
13,20,2,1,1.639735172,34.25808605,1.701496354
14,20,2,1,-12.87294587,38.19344444,1.417576825
15,20,2,1,-5.09190259,7.349033122,-1.04552522
16,20,2,1,-21.55131373,19.39215415,1.410728129
17,20,2,1,-18.22829621,7.723491232,-0.27405738
18,20,2,1,-20.21599511,9.680851374,-2.93213774
19,20,2,1,-11.14388779,31.21510974,1.526025534
01,40,2,1,-0.023014703,17.24507722,1.245049609
02,40,2,1,-9.145580924,19.30978459,1.713948858
03,40,2,1,-19.85834802,20.48907771,0.94398464
04,40,2,1,-10.33762869,11.20285873,-0.086698766
05,40,2,1,-11.10469864,15.67476905,1.756546648
07,40,2,1,-20.75873321,14.59577235,0.355271253
08,40,2,1,-31.89392567,12.97654071,0.762677833
11,40,2,1,-27.71634535,9.864474672,0.300327984
12,40,2,1,-23.55528698,3.296183256,0.704026375
13,40,2,1,-8.37368607,34.29995377,1.216126467
14,40,2,1,6.793698486,41.78655356,1.912697938
15,40,2,1,-13.77340293,4.077894048,-2.470055311
16,40,2,1,-19.05171197,17.45698181,1.426105944
17,40,2,1,-12.56419983,8.370553094,-0.053798017
18,40,2,1,-19.74333149,5.092779149,-1.465772725
19,40,2,1,-9.280624342,25.24771947,1.723981072
01,80,2,1,-3.734059599,27.06370071,1.330364502
02,80,2,1,-14.88934339,18.87779449,1.308149175
03,80,2,1,-22.23721184,24.75651384,1.423642825
04,80,2,1,-17.44523567,10.22126562,0.387137026
05,80,2,1,-9.866787904,23.68893938,2.040919577
07,80,2,1,-25.21584852,16.12927678,0.565226005
08,80,2,1,-33.32084398,25.98336667,0.643798721
11,80,2,1,-22.02358212,6.742386905,1.465847156
12,80,2,1,-7.629225972,19.65092107,3.137672553
13,80,2,1,-2.203701791,29.78572755,1.695855705
14,80,2,1,2.563606912,19.49973207,2.007190815
15,80,2,1,-10.38560005,0.946237201,-1.031143661
16,80,2,1,-17.85902131,25.49660675,1.375700289
17,80,2,1,-14.78132394,12.73286846,0.410868763
18,80,2,1,-18.02724658,7.20942867,2.88704155
19,80,2,1,-2.842864059,16.98759625,2.193591574
01,160,2,2,-6.872442767,27.92589899,1.149263664
02,160,2,2,-11.94190449,23.41247059,1.421444239
03,160,2,2,-21.06959925,20.63308523,1.579102114
04,160,2,2,-8.952718287,17.59293144,1.071822845
05,160,2,2,-11.9804301,19.8505349,2.162703818
07,160,2,2,-20.98283545,10.30772749,0.447267433
08,160,2,2,-31.82639093,18.61846345,0.816251201
11,160,2,2,-21.32981402,7.625245351,0.760662299
12,160,2,2,-9.599607738,20.57651151,-2.164951928
13,160,2,2,-5.188609452,37.85542067,1.375060352
14,160,2,2,21.20939235,43.77005664,2.44505267
15,160,2,2,-11.4908432,8.217153694,2.578862812
16,160,2,2,-21.93710204,12.21290327,0.877095314
17,160,2,2,-13.81673096,8.105729906,0.502021371
18,160,2,2,-13.94526485,7.410928319,2.188239821
19,160,2,2,2.099366511,20.97297314,2.400235031
01,240,2,2,-6.843549963,20.08481339,1.083819187
02,240,2,2,-10.97821298,22.83073353,1.236484756
03,240,2,2,-23.33124096,26.93869925,1.260929588
04,240,2,2,-3.005131438,16.02753876,1.567714071
05,240,2,2,-7.116099151,18.85443602,1.915699048
07,240,2,2,-21.97455468,11.45453348,0.631493051
08,240,2,2,-30.32884771,26.03319301,0.847946512
11,240,2,2,-20.01829271,8.113887187,0.693990121
12,240,2,2,-18.3003867,25.01927523,-3.061255506
13,240,2,2,-1.972624852,30.94929769,1.551059377
14,240,2,2,16.06620916,18.77173972,2.863185832
15,240,2,2,-3.922791319,5.418767707,2.907958164
16,240,2,2,-15.77290408,14.0340917,1.342565206
17,240,2,2,-12.36025149,6.460469336,1.134249297
18,240,2,2,-18.8641113,5.30272643,2.601502401
19,240,2,2,-6.065951175,16.92332803,1.522285276
01,320,2,2,-4.555118374,27.50477607,1.336470061
02,320,2,2,-8.220039861,23.12674934,1.538128391
03,320,2,2,-21.32853433,21.73150447,1.357136744
04,320,2,2,-4.191787793,15.2603192,1.918229214
05,320,2,2,-6.748679044,14.18980015,2.37772006
07,320,2,2,-23.90727106,12.01325929,0.379984781
08,320,2,2,-30.86107155,21.9308364,1.199168437
11,320,2,2,-18.81049789,8.867103723,1.506864696
12,320,2,2,-25.16382753,2.395996707,1.386396015
13,320,2,2,16.21865794,30.49947624,2.447624359
14,320,2,2,-1.114359866,42.04079276,1.56599929
15,320,2,2,-6.484341402,8.395128713,3.127930887
16,320,2,2,-18.48101856,12.34461744,1.618663159
17,320,2,2,-8.497845762,5.849817765,0.492537345
18,320,2,2,-19.49980128,5.330351886,2.494433356
19,320,2,2,-8.949366598,28.28268688,1.547838986
01,20,3,1,-9.848519913,12.39056383,0.668595343
02,20,3,1,-7.154828907,23.61881127,1.517480598
03,20,3,1,-14.02615281,23.16341542,1.178116446
04,20,3,1,-0.642843219,7.141500805,1.358487119
05,20,3,1,-4.127699819,5.368476979,-3.021960357
07,20,3,1,-18.76778277,6.909409462,-1.806498911
08,20,3,1,-26.14996063,22.68518113,0.872455255
11,20,3,1,-19.19598694,3.78881586,-0.058046672
12,20,3,1,-25.09033494,23.22859755,-2.723647666
13,20,3,1,-2.780022004,13.80605245,1.144536319
14,20,3,1,-7.374896887,36.37106715,1.591818294
15,20,3,1,-1.634302047,6.72221289,0.478531843
16,20,3,1,-26.15719019,7.662511617,1.560029732
17,20,3,1,-3.481488246,13.18778046,0.990100936
18,20,3,1,-22.28733848,26.99665515,0.435730132
19,20,3,1,-23.32893404,28.5231161,1.126470338
01,40,3,1,-14.15176412,9.163275585,0.571844578
02,40,3,1,-5.200192506,23.02415152,1.785084044
03,40,3,1,-10.47733897,28.60002614,1.705554732
04,40,3,1,1.666569949,7.767445474,1.314334172
05,40,3,1,-4.886515939,6.016298512,1.626440758
07,40,3,1,-17.7575393,8.120595911,-1.98366065
08,40,3,1,-28.31557362,12.69354284,1.06174075
11,40,3,1,-22.4985361,3.356415187,0.578620678
12,40,3,1,-23.55528698,3.296183256,0.704026375
13,40,3,1,-2.951882126,19.22298286,2.797361234
14,40,3,1,-20.15352642,32.84852323,1.591829271
15,40,3,1,9.716936288,6.206817315,2.66917457
16,40,3,1,-23.70801089,13.35422342,1.842820904
17,40,3,1,-7.294355464,15.24024157,1.011746452
18,40,3,1,-24.40459213,11.36097928,1.191638801
19,40,3,1,-10.59508333,30.52766805,1.759282287
01,80,3,1,-11.38166606,15.85361108,1.466921374
02,80,3,1,-5.990063859,24.94664589,1.477877747
03,80,3,1,-24.80600284,16.47730429,1.603439375
04,80,3,1,-1.021273554,4.712350939,1.305744322
05,80,3,1,-7.348937364,11.55374452,1.770875768
07,80,3,1,-18.17089228,14.34508787,-1.730640003
08,80,3,1,-23.81605071,17.93609843,0.940769395
11,80,3,1,-20.62293456,1.53409739,0.055558276
12,80,3,1,-7.629225972,19.65092107,3.137672553
